name,total_time,found,error,found.num_mutations,path,source,oop_category,side_effects,opcode_count,max_vm_usage,stats.Evaluated,stats.BankSize,stats.FoundContextCount,stats.MaxMutatingOpcodes,stats.MaxDepth,stats.MaxSize,string_literals,num_literals,iterations,expected,examples_count,var_count
MaxAndMinWithN,0.630772,"arr.sort((a, b)=>a - b).at(-1) + arr[0]",,1,tasks/benchmarks/fromSobeq/must/sobeq-new/MaxAndMinWithN.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/must/sobeq-new/MaxAndMinWithN.sy,Primitive Objects,With Side Effects,880,28.672 MB,263334,27715,624,3,4,15,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 606773}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 46774167}, 'statistics': {'Evaluated': 545, 'BankSize': 67, 'FoundContextCount': 17, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 499581978}, 'statistics': {'Evaluated': 232743, 'BankSize': 11859, 'FoundContextCount': 607, 'MaxMutatingOpcodes': 3, 'MaxDepth': 3, 'MaxSize': 12}}, {'time': {'secs': 0, 'nanos': 83149620}, 'statistics': {'Evaluated': 30591, 'BankSize': 15856, 'FoundContextCount': 17, 'MaxMutatingOpcodes': 3, 'MaxDepth': 4, 'MaxSize': 15}}]","['arr.sort((a, b)=>a - b)[0] + arr.reverse()[0]', 'arr.sort((a, b)=>a - b)[0] + arr.pop()']",2,2
inc_tree_values,0.773115,"tree2.inc_value(), tree1.inc_value(), tree3.inc_value()",,3,tasks/benchmarks/new_ruse/relations/inc_tree_values.sy,,Full OOP,With Side Effects,1181,36.732928 MB,121679,13612,27,1,3,12,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 3638986}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 98585917}, 'statistics': {'Evaluated': 667, 'BankSize': 79, 'FoundContextCount': 22, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 670496087}, 'statistics': {'Evaluated': 121012, 'BankSize': 13533, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 12}}]",['tree1.inc_value(); tree2.inc_value(); tree3.inc_value()'],1,3
get-middle-name-from-full-namemodified,0.777966,"_arg_0.slice(_arg_0.indexOf("" ""), _arg_0.lastIndexOf("" "")).slice(1)",,0,tasks/benchmarks/fromSobeq/may/probe/get-middle-name-from-full-namemodified.sy,https=//exceljet.net/formula/get-middle-name-from-full-name,Primitive,Without Side Effects,879,29.097984 MB,379268,61311,16,1,4,21,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 636348}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 50950004}, 'statistics': {'Evaluated': 315, 'BankSize': 34, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 98564412}, 'statistics': {'Evaluated': 54341, 'BankSize': 2059, 'FoundContextCount': 14, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 13}}, {'time': {'secs': 0, 'nanos': 627140494}, 'statistics': {'Evaluated': 324927, 'BankSize': 59252, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 1, 'MaxDepth': 4, 'MaxSize': 21}}]","[""_arg_0.slice(_arg_0.indexOf(' '),_arg_0.lastIndexOf(' ')).trim()"", ""(_arg_0.split(' ').slice(1,_arg_0.split(' ').length - 1)).join(' ')""]",3,1
sypet_10_scale,0.87116,"TransformArea(rect.Expand(1), AffineTransform.getScaleTransform(scaleX, scaleY))",,0,tasks/benchmarks/fromFrangel/sypet/sypet_10_scale.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/sypet/SyPet_10_scale.java,Full OOP,Without Side Effects,2014,36.634624 MB,111241,19910,17,2,3,9,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 11070790}, 'statistics': {'Evaluated': 15, 'BankSize': 13, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 191503049}, 'statistics': {'Evaluated': 4005, 'BankSize': 670, 'FoundContextCount': 12, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 5}}, {'time': {'secs': 0, 'nanos': 668101399}, 'statistics': {'Evaluated': 107236, 'BankSize': 19240, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 9}}]","['TransformRect(rect, AffineTransform.getScaleTransform(scaleX, scaleY))']",1,3
binary_search_tree_delete_two_children,0.882207,node_to_delete.right.min_node().swap(node_to_delete).unlink_leaf(),,2,tasks/benchmarks/new_ruse/binary_search_tree/binary_search_tree_delete_two_children.sy,,Full OOP,With Side Effects,16,34.254848 MB,25572,16398,658,3,5,11,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 6407807}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 39765293}, 'statistics': {'Evaluated': 30, 'BankSize': 21, 'FoundContextCount': 1, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 3}}, {'time': {'secs': 0, 'nanos': 73164339}, 'statistics': {'Evaluated': 556, 'BankSize': 249, 'FoundContextCount': 43, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 7}}, {'time': {'secs': 0, 'nanos': 559014893}, 'statistics': {'Evaluated': 7780, 'BankSize': 3951, 'FoundContextCount': 615, 'MaxMutatingOpcodes': 3, 'MaxDepth': 4, 'MaxSize': 10}}, {'time': {'secs': 0, 'nanos': 202782767}, 'statistics': {'Evaluated': 17792, 'BankSize': 12447, 'FoundContextCount': 43, 'MaxMutatingOpcodes': 3, 'MaxDepth': 5, 'MaxSize': 11}}]",['node_to_delete.right.min_node().swap(node_to_delete).unlink_leaf()'],3,2
user_names_connected,0.909861,"a.name.slice(0) + ("", "" + b.name)",,0,tasks/benchmarks/new_ruse/relations/user_names_connected.sy,,Full OOP,Without Side Effects,1527,32.575488 MB,182217,16984,66,1,4,24,"[' ', ', ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 1416858}, 'statistics': {'Evaluated': 8, 'BankSize': 8, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 88221056}, 'statistics': {'Evaluated': 744, 'BankSize': 34, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 607973385}, 'statistics': {'Evaluated': 74180, 'BankSize': 2207, 'FoundContextCount': 66, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 13}}, {'time': {'secs': 0, 'nanos': 211801522}, 'statistics': {'Evaluated': 108037, 'BankSize': 14777, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 4, 'MaxSize': 24}}]","['a.name + "", "" + b.name']",2,3
sypet_09_eigenvalue,1.124694,(new EigenvalueDecomposition(mat)).getEigenvalue(index),,0,tasks/benchmarks/fromFrangel/sypet/sypet_09_eigenvalue.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/sypet/SyPet_09_eigenvalue.java,Full OOP,Without Side Effects,1552,562.31936 MB,125394,5967,51,2,3,13,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 1422671}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 93056723}, 'statistics': {'Evaluated': 688, 'BankSize': 108, 'FoundContextCount': 47, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 5}}, {'time': {'secs': 1, 'nanos': 29750601}, 'statistics': {'Evaluated': 124706, 'BankSize': 5859, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 13}}]",['new EigenvalueDecomposition(mat).getEigenvalue(index)'],2,2
43606446modified,1.202874,"_arg_0.replaceAll("">"", ""<"").replaceAll(""<"", """").slice((-1) - (1 + 1))",,0,tasks/benchmarks/fromSobeq/may/probe/43606446modified.sy,https=//stackoverflow.com/questions/43606446/extract-substring-from-this-string-inside-excel-cell/43606527%43606527,Primitive,Without Side Effects,881,371.392512 MB,1065826,52056,48,1,4,19,"['>', ' ', '<', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 418075}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 51226923}, 'statistics': {'Evaluated': 783, 'BankSize': 74, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 554069972}, 'statistics': {'Evaluated': 552508, 'BankSize': 14113, 'FoundContextCount': 44, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 13}}, {'time': {'secs': 0, 'nanos': 596589596}, 'statistics': {'Evaluated': 513318, 'BankSize': 37943, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 1, 'MaxDepth': 4, 'MaxSize': 19}}]","[""_arg_0.replaceAll('<','').replaceAll('>','').split(',').slice(-1)[0]"", ""_arg_0.replace('>','').slice(-3)"", ""_arg_0.replace('>','').slice(-1 - 2)""]",3,1
user_names_simple,1.299505,"a.name + ("", "" + b.name)",,0,tasks/benchmarks/new_ruse/simple/user_names_simple.sy,,Full OOP,Without Side Effects,1174,1.064738816 GB,450840,96787,76,1,4,27,"[' ', ', ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 1564545}, 'statistics': {'Evaluated': 7, 'BankSize': 7, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 67241017}, 'statistics': {'Evaluated': 560, 'BankSize': 34, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 339292903}, 'statistics': {'Evaluated': 69483, 'BankSize': 2106, 'FoundContextCount': 76, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 13}}, {'time': {'secs': 0, 'nanos': 890922579}, 'statistics': {'Evaluated': 381357, 'BankSize': 94681, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 4, 'MaxSize': 27}}]","['a.name + "", "" b.name']",2,2
user_names,1.525601,"a.name + ("", "" + b.name)",,0,tasks/benchmarks/new_ruse/relations/user_names.sy,,Full OOP,Without Side Effects,1527,1.049939968 GB,464557,99846,78,1,4,27,"[' ', ', ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 583366}, 'statistics': {'Evaluated': 8, 'BankSize': 8, 'FoundContextCount': 5, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 89739300}, 'statistics': {'Evaluated': 744, 'BankSize': 34, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 547359649}, 'statistics': {'Evaluated': 74067, 'BankSize': 2107, 'FoundContextCount': 78, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 13}}, {'time': {'secs': 0, 'nanos': 887415969}, 'statistics': {'Evaluated': 390490, 'BankSize': 97739, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 4, 'MaxSize': 27}}]","['a.name + "", "" + b.name']",2,3
phone-6-long-repeatmodified,1.716913,"_arg_0.slice(_arg_0.indexOf("" ""), _arg_0.indexOf(""-"")).slice(_arg_0.length / _arg_0.lastIndexOf(""-""))",,0,tasks/benchmarks/fromSobeq/may/probe/phone-6-long-repeatmodified.sy,,Primitive,Without Side Effects,880,359.161856 MB,818158,53160,31,1,4,21,"[' ', '-', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 528267}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 54835537}, 'statistics': {'Evaluated': 512, 'BankSize': 60, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 415595669}, 'statistics': {'Evaluated': 210127, 'BankSize': 7227, 'FoundContextCount': 28, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 13}}, {'time': {'secs': 1, 'nanos': 245475331}, 'statistics': {'Evaluated': 608031, 'BankSize': 45933, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 4, 'MaxSize': 21}}]","[""_arg_0.slice(_arg_0.indexOf(' '),_arg_0.indexOf('-')).trim()"", ""_arg_0.split(' ')[1].split('-')[0]""]",3,1
fill_fibonacci_loopy_window,2.088359,"out.sort((a, b)=>a - b).push(out[1] + out.shift())",,2,tasks/benchmarks/fromSobeq/must/LooPy/fill_fibonacci_loopy_window.sy,https://github.com/KasraF/SnippySynthesizer/blob/loopy/src/test/resources/frangel_control/fill_fibonacci_loopy.examples.json,Primitive Objects,With Side Effects,879,1.770315776 GB,709196,149016,66,3,4,22,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 508449}, 'statistics': {'Evaluated': 5, 'BankSize': 5, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 50539390}, 'statistics': {'Evaluated': 305, 'BankSize': 37, 'FoundContextCount': 6, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 156255040}, 'statistics': {'Evaluated': 44110, 'BankSize': 2577, 'FoundContextCount': 60, 'MaxMutatingOpcodes': 2, 'MaxDepth': 3, 'MaxSize': 12}}, {'time': {'secs': 1, 'nanos': 880418873}, 'statistics': {'Evaluated': 665086, 'BankSize': 146439, 'FoundContextCount': 6, 'MaxMutatingOpcodes': 3, 'MaxDepth': 4, 'MaxSize': 22}}]","['out.push(out.splice(0, 1)[0] + out[0])', 'out.push(out[1] + out.shift())']",3,1
user_names_aliasing,3.833452,"(a.name + "", "") + b.name",,0,tasks/benchmarks/new_ruse/relations/user_names_aliasing.sy,,Full OOP,Without Side Effects,1176,2.928910336 GB,1430040,382414,76,1,4,27,"[' ', ', ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 1399646}, 'statistics': {'Evaluated': 9, 'BankSize': 7, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 78536784}, 'statistics': {'Evaluated': 560, 'BankSize': 34, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 345652777}, 'statistics': {'Evaluated': 69557, 'BankSize': 2110, 'FoundContextCount': 76, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 13}}, {'time': {'secs': 3, 'nanos': 407468085}, 'statistics': {'Evaluated': 1360483, 'BankSize': 380304, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 1, 'MaxDepth': 4, 'MaxSize': 27}}]","['a.name + "", "" +  b.name', 'a.name + "", "" +  d.name', 'c.name + "", "" +  b.name', 'c.name + "", "" +  d.name']",2,4
ArrayCounter,7.206462,"++count[index], count",,1,tasks/benchmarks/fromSobeq/may/sobeq-new/ArrayCounter.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/may/sobeq-new/ArrayCounter.sy,Primitive Objects,With Side Effects,880,3.93402368 GB,3410017,858121,525,3,4,23,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 557177}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 48565732}, 'statistics': {'Evaluated': 539, 'BankSize': 73, 'FoundContextCount': 16, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 579338511}, 'statistics': {'Evaluated': 275148, 'BankSize': 12461, 'FoundContextCount': 509, 'MaxMutatingOpcodes': 3, 'MaxDepth': 3, 'MaxSize': 13}}, {'time': {'secs': 6, 'nanos': 577475566}, 'statistics': {'Evaluated': 3134869, 'BankSize': 845660, 'FoundContextCount': 16, 'MaxMutatingOpcodes': 3, 'MaxDepth': 4, 'MaxSize': 23}}]","['count[index]++, count', '(count[index]++, count)', 'count.slice(0,index).concat(count[index] + 1).concat(count.slice(index + 1))']",2,2
ArrayCounter-mustmut,8.435311,"++count[index], count",,1,tasks/benchmarks/fromSobeq/must/stateCopies/ArrayCounter-mustmut.sy,https://github.com/peleghila/sobeq/blob/main/benchmarks/must/stateCopies/ArrayCounter-mustmut.sy,Primitive Objects,With Side Effects,880,3.969478656 GB,3428830,869143,525,3,4,21,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 538243}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 53882659}, 'statistics': {'Evaluated': 539, 'BankSize': 73, 'FoundContextCount': 16, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 563180176}, 'statistics': {'Evaluated': 275148, 'BankSize': 12461, 'FoundContextCount': 509, 'MaxMutatingOpcodes': 3, 'MaxDepth': 3, 'MaxSize': 13}}, {'time': {'secs': 7, 'nanos': 817158669}, 'statistics': {'Evaluated': 3153682, 'BankSize': 856682, 'FoundContextCount': 16, 'MaxMutatingOpcodes': 3, 'MaxDepth': 4, 'MaxSize': 21}}]",['count[index]++; count'],2,2
17212077modified,8.755868,"_arg_0.split(""/"").shift() + _arg_0.slice(_arg_0.lastIndexOf(""/""))",,0,tasks/benchmarks/fromSobeq/may/probe/17212077modified.sy,https=//stackoverflow.com/questions/17212077/stuck-substring-month-and-year-in-excel,Primitive,Without Side Effects,880,7.91857152 GB,6830847,977696,28,1,4,27,"[' ', '/', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 475630}, 'statistics': {'Evaluated': 6, 'BankSize': 6, 'FoundContextCount': 2, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 49686298}, 'statistics': {'Evaluated': 512, 'BankSize': 57, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 2, 'MaxSize': 4}}, {'time': {'secs': 0, 'nanos': 182842087}, 'statistics': {'Evaluated': 150104, 'BankSize': 5318, 'FoundContextCount': 25, 'MaxMutatingOpcodes': 1, 'MaxDepth': 3, 'MaxSize': 13}}, {'time': {'secs': 8, 'nanos': 522252429}, 'statistics': {'Evaluated': 6680743, 'BankSize': 972378, 'FoundContextCount': 3, 'MaxMutatingOpcodes': 1, 'MaxDepth': 4, 'MaxSize': 27}}]","[""(_arg_0.split('/')[0]).concat('/'.concat(_arg_0.split('/')[2]))"", ""_arg_0.slice(0,2) + _arg_0.slice(_arg_0.lastIndexOf('/'))""]",3,1
sypet_06_solveLinearMatrixInput,13.030153,"(new Vector2D(vec.columns, vec.trace())).toArray()",,0,tasks/benchmarks/fromFrangel/sypet/sypet_06_solveLinearMatrixInput.sy,https://github.com/kensens/FrAngel/blob/master/src/frangel/benchmarks/sypet/SyPet_06_solveLinear.java,Full OOP,Without Side Effects,2505,898.359296 MB,386603,24438,4,0,4,15,"[' ', '']","[0, 1]","[{'time': {'secs': 0, 'nanos': 28468889}, 'statistics': {'Evaluated': 9, 'BankSize': 9, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 1, 'MaxSize': 1}}, {'time': {'secs': 0, 'nanos': 151581505}, 'statistics': {'Evaluated': 1132, 'BankSize': 57, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 2, 'MaxSize': 5}}, {'time': {'secs': 4, 'nanos': 141744947}, 'statistics': {'Evaluated': 332196, 'BankSize': 6430, 'FoundContextCount': 4, 'MaxMutatingOpcodes': 0, 'MaxDepth': 3, 'MaxSize': 13}}, {'time': {'secs': 8, 'nanos': 707933457}, 'statistics': {'Evaluated': 54407, 'BankSize': 18008, 'FoundContextCount': 0, 'MaxMutatingOpcodes': 0, 'MaxDepth': 4, 'MaxSize': 15}}]",['(new SingularValueDecomposition(mat)).inverse().mmul(vec).transpose()).to1DArray()'],1,2
